Date,Open,High,Low,Close
1611680580000,1313.35000000,1313.64000000,1311.62000000,1312.26000000
1611680640000,1312.47000000,1313.80000000,1310.67000000,1311.75000000
1611680700000,1312.04000000,1313.00000000,1310.94000000,1312.40000000
1611680760000,1312.83000000,1313.00000000,1310.39000000,1312.27000000
1611680820000,1312.28000000,1312.94000000,1311.16000000,1311.52000000
1611680880000,1311.41000000,1313.00000000,1311.20000000,1311.90000000
1611680940000,1311.90000000,1312.45000000,1311.24000000,1312.01000000
1611681000000,1311.91000000,1315.88000000,1311.89000000,1313.27000000
1611681060000,1313.34000000,1314.00000000,1311.56000000,1312.36000000
1611681120000,1312.30000000,1313.81000000,1311.84000000,1312.96000000
1611681180000,1312.91000000,1314.00000000,1311.50000000,1312.10000000
1611681240000,1311.98000000,1312.97000000,1311.37000000,1311.93000000
1611681300000,1311.84000000,1314.26000000,1310.53000000,1311.98000000
1611681360000,1311.97000000,1312.65000000,1305.62000000,1306.93000000
1611681420000,1306.78000000,1306.86000000,1302.91000000,1304.49000000
1611681480000,1304.50000000,1305.40000000,1303.04000000,1305.18000000
1611681540000,1305.15000000,1306.00000000,1303.99000000,1304.77000000
1611681600000,1304.96000000,1308.19000000,1304.77000000,1305.24000000
1611681660000,1305.16000000,1308.14000000,1305.16000000,1307.18000000
1611681720000,1307.18000000,1309.42000000,1307.16000000,1308.35000000
1611681780000,1308.43000000,1313.00000000,1308.31000000,1312.68000000
1611681840000,1312.57000000,1313.05000000,1309.95000000,1310.63000000
1611681900000,1310.46000000,1311.88000000,1306.48000000,1307.18000000
1611681960000,1307.12000000,1312.00000000,1304.70000000,1310.19000000
1611682020000,1309.87000000,1313.37000000,1309.87000000,1312.16000000
1611682080000,1312.38000000,1320.54000000,1312.38000000,1320.47000000
1611682140000,1320.47000000,1321.42000000,1315.48000000,1317.77000000
1611682200000,1317.69000000,1319.11000000,1315.00000000,1315.50000000
1611682260000,1315.43000000,1315.43000000,1311.10000000,1313.72000000
1611682320000,1313.72000000,1316.32000000,1312.46000000,1315.49000000
1611682380000,1315.50000000,1319.73000000,1315.40000000,1318.72000000
1611682440000,1318.73000000,1319.77000000,1315.66000000,1316.42000000
1611682500000,1316.42000000,1317.11000000,1315.05000000,1315.53000000
1611682560000,1315.53000000,1316.20000000,1314.51000000,1315.39000000
1611682620000,1315.39000000,1317.83000000,1314.48000000,1315.07000000
1611682680000,1315.31000000,1316.39000000,1314.18000000,1314.85000000
1611682740000,1314.78000000,1315.12000000,1313.66000000,1314.24000000
1611682800000,1314.24000000,1315.24000000,1313.66000000,1313.76000000
1611682860000,1313.76000000,1313.77000000,1309.51000000,1310.37000000
1611682920000,1310.37000000,1311.31000000,1307.11000000,1311.26000000
1611682980000,1311.36000000,1312.74000000,1310.00000000,1310.66000000
1611683040000,1310.56000000,1310.78000000,1307.75000000,1309.50000000
1611683100000,1309.28000000,1311.04000000,1308.39000000,1309.97000000
1611683160000,1309.79000000,1310.10000000,1308.52000000,1309.88000000
1611683220000,1309.96000000,1312.99000000,1309.80000000,1310.14000000
1611683280000,1310.15000000,1311.67000000,1309.78000000,1311.04000000
1611683340000,1310.94000000,1313.70000000,1310.43000000,1313.33000000
1611683400000,1313.33000000,1319.00000000,1311.99000000,1318.54000000
1611683460000,1318.44000000,1323.33000000,1318.01000000,1321.90000000
1611683520000,1321.90000000,1322.30000000,1318.27000000,1318.62000000
1611683580000,1318.62000000,1320.38000000,1316.47000000,1319.37000000
1611683640000,1319.37000000,1324.00000000,1319.37000000,1323.53000000
1611683700000,1323.55000000,1325.66000000,1322.96000000,1324.88000000
1611683760000,1324.55000000,1325.75000000,1322.96000000,1324.37000000
1611683820000,1324.51000000,1325.00000000,1323.13000000,1323.14000000
1611683880000,1323.13000000,1329.22000000,1323.13000000,1327.72000000
1611683940000,1327.72000000,1329.98000000,1327.29000000,1329.39000000
1611684000000,1329.40000000,1334.68000000,1329.40000000,1333.18000000
1611684060000,1333.43000000,1333.54000000,1330.00000000,1331.91000000
1611684120000,1331.83000000,1333.46000000,1330.47000000,1332.12000000
1611684180000,1332.16000000,1333.61000000,1328.32000000,1330.45000000
1611684240000,1330.55000000,1330.66000000,1324.09000000,1324.41000000
1611684300000,1324.48000000,1327.66000000,1322.99000000,1324.89000000
1611684360000,1324.92000000,1324.93000000,1321.08000000,1321.93000000
1611684420000,1321.87000000,1324.48000000,1320.22000000,1320.22000000
1611684480000,1320.23000000,1323.21000000,1319.04000000,1321.68000000
1611684540000,1321.68000000,1321.68000000,1318.00000000,1318.62000000
1611684600000,1318.61000000,1321.82000000,1318.21000000,1320.18000000
1611684660000,1320.18000000,1320.84000000,1318.20000000,1319.94000000
1611684720000,1319.94000000,1321.08000000,1317.76000000,1321.08000000
1611684780000,1321.08000000,1321.30000000,1319.16000000,1319.17000000
1611684840000,1319.17000000,1322.23000000,1318.30000000,1322.23000000
1611684900000,1322.23000000,1322.79000000,1320.48000000,1322.79000000
1611684960000,1322.79000000,1327.35000000,1322.29000000,1327.30000000
1611685020000,1327.30000000,1330.00000000,1326.49000000,1329.74000000
1611685080000,1329.76000000,1332.58000000,1327.86000000,1332.42000000
1611685140000,1332.49000000,1332.87000000,1328.96000000,1330.74000000
1611685200000,1330.73000000,1330.73000000,1325.25000000,1325.25000000
1611685260000,1325.24000000,1328.79000000,1325.24000000,1328.16000000
1611685320000,1328.06000000,1332.50000000,1326.83000000,1326.88000000
1611685380000,1326.98000000,1328.00000000,1324.15000000,1326.99000000
1611685440000,1327.00000000,1327.00000000,1325.34000000,1326.29000000
1611685500000,1326.20000000,1330.42000000,1326.15000000,1330.17000000
1611685560000,1330.04000000,1330.90000000,1327.11000000,1327.18000000
1611685620000,1327.17000000,1329.34000000,1326.63000000,1327.19000000
1611685680000,1327.40000000,1328.43000000,1327.35000000,1327.60000000
1611685740000,1327.61000000,1328.41000000,1326.63000000,1327.11000000
1611685800000,1327.11000000,1331.29000000,1326.77000000,1331.06000000
1611685860000,1331.07000000,1335.43000000,1331.00000000,1335.13000000
1611685920000,1335.10000000,1337.00000000,1332.40000000,1334.71000000
1611685980000,1334.96000000,1335.99000000,1334.01000000,1334.68000000
1611686040000,1334.67000000,1336.31000000,1333.00000000,1335.90000000
1611686100000,1335.90000000,1337.73000000,1335.00000000,1337.30000000
1611686160000,1337.38000000,1337.80000000,1332.62000000,1333.81000000
1611686220000,1333.82000000,1334.68000000,1332.35000000,1332.38000000
1611686280000,1332.37000000,1333.92000000,1330.00000000,1330.78000000
1611686340000,1330.79000000,1332.98000000,1330.01000000,1330.01000000
1611686400000,1330.01000000,1333.50000000,1330.01000000,1331.43000000
1611686460000,1331.28000000,1331.90000000,1327.26000000,1327.55000000
1611686520000,1327.48000000,1328.97000000,1326.60000000,1327.38000000
1611686580000,1327.35000000,1333.43000000,1327.32000000,1332.04000000
1611686640000,1331.98000000,1332.25000000,1327.50000000,1329.65000000
1611686700000,1329.65000000,1330.99000000,1327.34000000,1327.84000000
1611686760000,1327.84000000,1328.62000000,1326.20000000,1328.04000000
1611686820000,1328.24000000,1332.50000000,1327.17000000,1331.13000000
1611686880000,1331.13000000,1331.67000000,1328.47000000,1329.47000000
1611686940000,1329.46000000,1331.35000000,1328.43000000,1328.86000000
1611687000000,1328.92000000,1331.42000000,1328.20000000,1328.26000000
1611687060000,1328.43000000,1330.89000000,1328.25000000,1329.54000000
1611687120000,1329.29000000,1329.98000000,1328.00000000,1328.73000000
1611687180000,1328.73000000,1329.47000000,1327.58000000,1328.61000000
1611687240000,1328.61000000,1328.61000000,1326.36000000,1326.74000000
1611687300000,1326.93000000,1327.94000000,1325.34000000,1326.01000000
1611687360000,1325.99000000,1326.84000000,1323.80000000,1324.34000000
1611687420000,1324.35000000,1328.62000000,1323.98000000,1327.81000000
1611687480000,1327.89000000,1336.04000000,1326.30000000,1334.94000000
1611687540000,1334.94000000,1337.57000000,1332.80000000,1332.82000000
1611687600000,1332.82000000,1337.65000000,1332.82000000,1337.29000000
1611687660000,1337.24000000,1339.92000000,1337.20000000,1339.25000000
1611687720000,1339.25000000,1343.64000000,1339.24000000,1343.21000000
